task_id,family,parent_correct,derived_correct,parent_valid_proof,derived_valid_proof,parent_nodes_visited,parent_edges_examined,parent_search_steps,parent_compute_credits,derived_nodes_visited,derived_edges_examined,derived_search_steps,derived_compute_credits,delta_nodes_visited,delta_edges_examined,delta_search_steps,delta_compute_credits
test-02d2dc977bbb3183,path,True,True,True,True,25,392,33,58,25,392,33,58,0,0,0,0
test-1cfda893d34b0813,path,True,True,True,True,2,3,33,35,2,3,33,35,0,0,0,0
test-6eb58820b5ccacc4,distractor,True,True,True,True,3,6,33,36,3,6,33,36,0,0,0,0
test-6a0166581b581ec9,intersection,True,True,True,True,1,10,33,34,1,10,33,34,0,0,0,0
test-31c4a0480ff04828,path,True,True,True,True,9,21,33,42,9,21,33,42,0,0,0,0
test-2232c902d2e19043,distractor,True,True,True,True,10,20,33,43,10,20,33,43,0,0,0,0
test-25d93c91b4c7d46c,semantic_hybrid,True,True,True,True,11,116,33,44,11,116,33,44,0,0,0,0
test-0144ab80d5f59be6,robustness,True,True,True,True,4,9,33,37,4,9,33,37,0,0,0,0
test-6d84322d4a3d84e1,path,True,True,True,True,3,10,33,36,3,10,33,36,0,0,0,0
test-6c8ede733c5eb797,path,True,True,True,True,5,15,33,38,5,15,33,38,0,0,0,0
test-45e4b3e19278031d,distractor,True,True,True,True,11,49,33,44,11,49,33,44,0,0,0,0
test-039da27bc9f56501,intersection,True,True,True,True,1,3,33,34,1,3,33,34,0,0,0,0
test-348955b8a9e3f627,path,True,True,True,True,4,12,33,37,4,12,33,37,0,0,0,0
test-0dda74539f561997,distractor,True,True,True,True,7,17,33,40,7,17,33,40,0,0,0,0
test-68f8d8f79bfe8f8c,semantic_hybrid,True,True,True,True,114,3908,33,147,114,3908,33,147,0,0,0,0
test-2d54c50aa1757498,robustness,True,True,True,True,70,3595,33,103,70,3595,33,103,0,0,0,0
test-2624aa54351eb0e6,path,True,True,True,True,19,155,33,52,19,155,33,52,0,0,0,0
test-69f7b92c3d150ab0,path,True,True,True,True,12,208,33,45,12,208,33,45,0,0,0,0
test-4d91b0cd16310f2f,distractor,True,True,True,True,12,403,33,45,12,403,33,45,0,0,0,0
test-042490065cca3152,intersection,True,True,True,True,1,3,33,34,1,3,33,34,0,0,0,0
test-7f1743ccb33f6cb3,path,True,True,True,True,3,5,33,36,3,5,33,36,0,0,0,0
test-7bcf9fdbefd30c39,distractor,True,True,True,True,2,10,33,35,2,10,33,35,0,0,0,0
test-21c524e2bce5b442,semantic_hybrid,True,True,True,True,5,13,33,38,5,13,33,38,0,0,0,0
test-3ed742398abb934f,robustness,True,True,True,True,39,1713,33,72,39,1713,33,72,0,0,0,0
test-7a9828ee3073a6f9,path,True,True,True,True,4,26,33,37,4,26,33,37,0,0,0,0
test-6fa685ab1eaccac1,path,True,True,True,True,12,44,33,45,12,44,33,45,0,0,0,0
test-022cf50940ce15d3,distractor,True,True,True,True,3,9,33,36,3,9,33,36,0,0,0,0
test-35709a6f3b34701e,intersection,True,True,True,True,6,11,33,39,6,11,33,39,0,0,0,0
test-75a5a3d59f5a9e28,path,True,False,True,False,1337,41848,33,1370,970,33407,33,1003,-367,-8441,0,-367
test-298b21a43415de01,distractor,True,True,True,True,13,54,33,46,13,54,33,46,0,0,0,0
test-05504e1a1e329033,semantic_hybrid,True,True,True,True,93,658,33,126,93,658,33,126,0,0,0,0
test-19a5cdab4a1e836b,robustness,True,True,True,True,433,1982,33,466,433,1982,33,466,0,0,0,0
test-73309194af2fe92d,path,True,True,True,True,501,35954,33,534,501,35954,33,534,0,0,0,0
test-164b290fb4d4a4c0,path,True,True,True,True,9,32,33,42,9,32,33,42,0,0,0,0
test-6756403e8ce81e1e,distractor,True,True,True,True,11,48,33,44,11,48,33,44,0,0,0,0
test-7b947730f9754475,intersection,True,True,True,True,46,59,33,79,46,59,33,79,0,0,0,0
test-15a519f6cd748523,path,True,True,True,True,209,2410,33,242,209,2410,33,242,0,0,0,0
test-14e210e134124f8a,distractor,True,True,True,True,15,22,33,48,15,22,33,48,0,0,0,0
test-42955d7a33fb6b2b,semantic_hybrid,True,True,True,True,31,293,33,64,31,293,33,64,0,0,0,0
test-6763448f25cec8f9,robustness,True,True,True,True,5,25,33,38,5,25,33,38,0,0,0,0
test-1b97bc342b04b0d0,path,True,True,True,True,11,299,33,44,11,299,33,44,0,0,0,0
test-7ef0b741424424bc,path,True,True,True,True,3,10,33,36,3,10,33,36,0,0,0,0
test-1f894e75076f8028,distractor,True,True,True,True,3,14,33,36,3,14,33,36,0,0,0,0
test-0455c8a91b5ced33,intersection,True,True,True,True,1,1,33,34,1,1,33,34,0,0,0,0
test-32ca6cc8183d9980,path,True,True,True,True,4,26,33,37,4,26,33,37,0,0,0,0
test-00a8253e2ea78504,distractor,True,True,True,True,2,9,33,35,2,9,33,35,0,0,0,0
test-6dcd68f800b49927,semantic_hybrid,True,True,True,True,2,8,33,35,2,8,33,35,0,0,0,0
test-78fa26c4f525eff5,robustness,True,True,True,True,4,7,33,37,4,7,33,37,0,0,0,0
test-05d931cb9a48cd79,path,True,True,True,True,5,179,33,38,5,179,33,38,0,0,0,0
test-0ef1c97366011fe0,path,True,True,True,True,9,42,33,42,9,42,33,42,0,0,0,0
test-3c5ff29a63050c59,distractor,True,True,True,True,17,57,33,50,17,57,33,50,0,0,0,0
test-27bdb949ccb7a238,intersection,True,True,True,True,1,4,33,34,1,4,33,34,0,0,0,0
test-0c1f0297e70b2f97,path,True,True,True,True,258,16239,33,291,258,16239,33,291,0,0,0,0
test-4a6fed43a5802737,distractor,True,True,True,True,8,45,33,41,8,45,33,41,0,0,0,0
test-64b78c919dfc6de0,semantic_hybrid,True,True,True,True,8,36,33,41,8,36,33,41,0,0,0,0
test-5c8c2bcb69520ce8,robustness,True,True,True,True,2,5,33,35,2,5,33,35,0,0,0,0
test-07bb371aefe628bd,path,True,True,True,True,6,14,33,39,6,14,33,39,0,0,0,0
test-12ae9a2462b777d4,path,True,True,True,True,3,5,33,36,3,5,33,36,0,0,0,0
test-5abbd0b1b368b9da,distractor,True,True,True,True,8,22,33,41,8,22,33,41,0,0,0,0
